year,debt,mrthel,nh_mort,heloc,resdbt,othloc,ccbal,install,edn_inst,veh_inst,oth_inst,odebt,lloan1,lloan2,lloan3,lloan4,lloan5,lloan6,lloan7,lloan8,lloan9,lloan10,lloan11,lloan12,ploan1,ploan2,ploan3,ploan4,ploan5,ploan6,ploan7,mort1,mort2,mortpay,rent,paymort1,paymort2,paymort3,paymorto,payloc1,payloc2,payloc3,payhi1,paylc1,payore1,payore2,payorev,payveh1,payveh2,payveh3,payveh4,payvehm,payveo1,payveo2,payedu1,payedu2,payedu3,payedu4,payiln1,payiln2,payiln3,payiln4,payiln5,paymarg,payins,paypen1,paypen2,paypen4,paypen5,revpay,conspay,tpay,income,norminc,bussefarminc,intdivinc,ssretinc,transfothinc,wageinc,kginc,kgtotal,farmbus_kg,networth,asset,nstocks,nvehic,farmbus,pirmort,pircons,pirrev,pirtotal,debt2inc,levratio,ntrad,equitinc,age,educ,Lli_ty
2013,.0006817868618221,.0118683001531394,.0118683001531394,0,.0041788549937317,0,0,.0000870745140154,.0533570475767007,0,0,0,0,0,0,0,0,.082,0,.111317254174397,0,0,0,0,.009792213995701,0,0,0,0,.0022263450834879,0,.0042671218263281,0,.0077787381158168,0,.026431718061674,0,0,0,0,0,0,0,0,.0025929127052723,0,0,0,0,0,0,0,0,0,.0168724279835391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0000872526069376,.0020025537348372,.0006159240044536,.0006693009666251,.0077527628718666,0,.0093823299452697,.4347826086956522,.0038677238445175,.0105672499788655,.2509640032159621,.0070140280561122,.1447187283649165,.0019099245616389,0,.1818181849708242,.0017622058671089,.003736189946549,7.47165095154e-06,0,.0001696072488375,.0032147846295474,3.46134608216e-06,0,.0000159264845272,.4675324799178482,.9333333471086295,.4128324762761111
2013,.000460568784316,0,0,0,0,0,0,.0004607693033313,.2823477100933748,0,0,0,0,0,0,0,0,0,0,.5890538033395176,0,0,0,0,0,0,0,0,0,.0117810760667904,0,0,0,0,.0246913580246914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0002842726174401,.0002252455176142,.0077527628718666,0,0,.4347826086956522,.0023206343067105,.0105672499788655,.2509454386032556,.0070140280561122,.1442183793870346,.0012795846747131,0,.1818181849708242,.0017622058671089,0,0,0,0,.0047053275029989,.0002725113613177,0,0,.1298701546408913,.5999999952316283,.8380630352108058
2013,.0004816026343084,.008614088820827,.008614088820827,0,0,0,.0413223140495868,.000119001835821,.0400177856825256,.0023748395378691,0,0,.0000536959503095,0,0,0,0,.045,0,.0834879406307978,0,.0413223140495868,0,0,.0053737759732505,0,.0023748395378691,.0007608034083993,0,.001669758812616,0,0,0,.0042005185825411,0,.0214096916299559,0,0,0,0,0,0,0,0,0,0,0,0,0,.3036363636363636,0,0,0,0,.0411522633744856,.0543478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,.0025,.0007278144286018,.0020280910832092,.0005377490346576,.0005843512285534,.0077527628718666,0,0,.4351304347826087,.0043511893250822,.0105672499788655,.2509575770038714,.0070140280561122,.1443211767988478,.0014039662308526,0,.2727272774562364,.0017622058671089,.0023109290282443,.0000713853623084,.0023585869179105,.0001967458963591,.0026010115641047,.0000119730319575,0,9.10084830124e-07,.4025974149827833,.8666666783226865,.4519076567406644
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0076161372089167,.0082761638757674,.0077862061626864,.0249573326077815,.0172009382329945,.4404347826086957,0,.0106813762786372,.2534730820255992,.0070140280561122,.1623044061968499,.0222900240057088,1,.2727272774562364,.0017622058671089,0,0,0,0,0,0,.0833333317328382,.000050620713536,.6493506741214108,.9333333471086295,.5264397008569348
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0074503115154099,.0080959674616761,.0153991152729429,.0018262468360171,.00852228303362,.4447826086956522,0,.0105672499788655,.2532608742218928,.0070140280561122,.1541504010044429,.0127739941852402,0,.2727272774562364,.0017622058671089,0,0,0,0,0,0,0,0,.7532467780175147,.9333333471086295,.5222437432627717
2013,2.17591551645e-06,0,0,0,0,0,.0024793388429752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0024793388429752,0,0,0,0,0,.000045648204504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00015,0,.0000159608427325,.0001895150782934,.0002059387589616,.0077527628718666,0,.0125097732603597,.4347826086956522,0,.0105672499788655,.2509682873573559,.0070140280561122,.1443295612392354,.0013131624447776,0,.0909090924854121,.0017622058671089,0,0,.0004015415782501,4.39338649353e-06,.0000333448405724,1.79937022042e-07,0,0,.6623376871084238,.5999999952316283,.4643410347672899
2013,.001367200249505,.036083460949464,.036083460949464,0,0,0,0,0,0,0,0,0,0,.1070414537194776,0,0,0,0,0,0,0,0,0,0,.0225101504657272,0,0,0,0,0,0,0,0,.0146931719965428,0,.0748898678414097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0036177910193658,.0013325278942506,.0014480068989484,.0077287445084596,.0014407974473769,.0311962470680219,.435068695652174,.0024946818797138,.0108441119283118,.2516900937798551,.0070140280561122,.1499602723568756,.0081708098500088,.1466666623263889,.1818181849708242,.0017622058671089,.00326201670395,0,0,.00014162976311,.0029797937530802,6.39890706862e-07,.002777777808316,.00008844932447,.5714285838139521,1,.4845201993256908
2013,.0054397887911339,.1339969372128637,.1339969372128637,0,.0104471374843293,0,0,0,0,0,0,0,.0054421571259605,0,0,0,0,0,0,0,0,0,0,0,.089562932887509,0,0,0,0,0,0,.0106678045658204,0,.0384615384615385,0,.1541850220264317,0,0,0,0,0,0,0,0,.0082108902333621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0094701000212811,.0034408831402648,.0037390755923957,.0078743748384841,.000103061333861,0,.4347826086956522,.0270740669116225,.0105672499788655,.2512983090493918,.0070140280561122,.1465044955074395,.0049922603734575,.0666666670057509,.2727272774562364,.0017622058671089,.003306767464645,0,0,.0001435727450784,.0045913721958599,4.72249075203e-06,0,4.07585054756e-06,.5194805318659003,1,.4100320984642481
2013,.0000510614841194,.0012519142419602,.0012519142419602,0,0,0,0,3.62810475064e-06,0,0,3.62810475064e-06,0,0,0,0,0,0,.00704,0,0,0,0,0,0,.0007809887747791,0,0,.0000760803408399,0,0,0,0,0,.0015125324114088,.0083333333333333,.0077092511013216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0002571428571429,0,0,0,0,0,0,0,0,0,0,0,.00006384337093,.0004362630346882,.000074621562078,.0000810883863411,.0077527628718666,0,0,.4402608695652174,0,.0105672499788655,.2509196623525363,.0070140280561122,.1443063247341487,.0012963012758533,0,.0909090924854121,.0017622058671089,.006005579395564,.0000454373570061,0,.0003056895792013,.0019945344637788,8.81651875512e-06,0,0,.2077922325629692,.5999999952316283,.1576688123461841
2013,.000566100686864,.0149310872894334,.0149310872894334,0,0,0,.0004132231404959,0,0,0,0,0,.0005659843410999,0,0,0,0,0,0,0,0,.0004132231404959,0,0,.0093145450203009,0,0,7.60803408399e-06,0,0,0,0,0,.0051858254105445,0,.026431718061674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000025,0,.0012795275590551,.0003529718333215,.000530292304326,.0077527628718666,0,0,.4385130434782609,.0023593115451557,.0105672499788655,.2509497227446494,.0070140280561122,.1443026775677779,.0014001055101341,0,.1818181849708242,.0017622058671089,.0043917770684269,0,.0000363076807906,.0001910787862099,.0047065159553054,.0000145050244652,0,0,.3376623500477184,.5999999952316283,.3253475078539788
