"","","subdata"
"211",1,0.355707068243708
"212",1,0.356130021622315
"213",1,0.356130021622315
"214",1,0.358055951728264
"215",1,0.358055951728264
"216",1,0.358055951728264
"217",1,0.359086907133711
"218",1,0.359086907133711
"219",1,0.359086907133711
"220",1,0.359086907133711
"221",1,0.359664564275462
"222",1,0.359664564275462
"223",1,0.359664564275462
"224",1,0.359664564275462
"225",1,0.359664564275462
"226",1,0.360259060951585
"227",1,0.360259060951585
"228",1,0.360259060951585
"229",1,0.360259060951585
"230",1,0.360259060951585
"231",1,0.360259060951585
"232",1,0.360644450066716
"233",1,0.360644450066716
"234",1,0.360644450066716
"235",1,0.361299849305246
"236",1,0.361903823247873
"237",1,0.361903823247873
"238",1,0.361903823247873
"239",1,0.362219960748217
"240",1,0.362219960748217
"241",1,0.362219960748217
