x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
14894.0,214.0,0.014368201960521016,2.28053352010361,166.0,256.0,387.0,668.0,741.0,900.0,788.0,923.0,637.0,952.0,777.0,690.0,792.0,689.0,756.0,811.0,746.0,577.0,743.0,697.0,595.0,603.0
15045.0,239.0,0.015885676304420074,2.2719941302784,197.0,262.0,453.0,787.0,771.0,896.0,774.0,842.0,695.0,1000.0,708.0,702.0,870.0,538.0,804.0,749.0,730.0,720.0,551.0,708.0,638.0,650.0
14352.0,215.0,0.014980490523968784,2.26261478240566,161.0,226.0,402.0,742.0,754.0,764.0,788.0,762.0,852.0,594.0,742.0,765.0,755.0,729.0,607.0,709.0,820.0,718.0,553.0,710.0,567.0,632.0
15107.0,260.0,0.017210564638909114,2.25190561510873,161.0,180.0,359.0,820.0,835.0,817.0,849.0,855.0,922.0,753.0,700.0,863.0,802.0,781.0,641.0,674.0,822.0,677.0,529.0,750.0,665.0,652.0
14743.0,266.0,0.018042460828867936,2.24447829577186,179.0,220.0,350.0,724.0,810.0,814.0,794.0,901.0,815.0,712.0,655.0,890.0,838.0,637.0,791.0,561.0,852.0,653.0,640.0,658.0,624.0,625.0
14797.0,264.0,0.017841454348854497,2.23921960667127,160.0,237.0,400.0,724.0,781.0,781.0,795.0,925.0,810.0,747.0,959.0,572.0,775.0,712.0,760.0,830.0,666.0,601.0,651.0,669.0,641.0,601.0
14433.0,256.0,0.01773713018776415,2.24249397460594,190.0,242.0,378.0,706.0,700.0,796.0,747.0,813.0,697.0,704.0,741.0,821.0,722.0,687.0,754.0,546.0,900.0,592.0,750.0,667.0,643.0,637.0
15054.0,317.0,0.02105752623887339,2.23504650669512,134.0,223.0,332.0,769.0,825.0,783.0,789.0,865.0,773.0,813.0,1052.0,556.0,838.0,711.0,776.0,828.0,670.0,658.0,641.0,645.0,659.0,714.0
14445.0,345.0,0.023883696780893044,2.23545378474666,156.0,186.0,350.0,750.0,783.0,722.0,716.0,884.0,737.0,701.0,958.0,551.0,731.0,648.0,770.0,789.0,614.0,741.0,598.0,625.0,691.0,744.0
14344.0,250.0,0.01742889012827663,2.25723865008741,167.0,210.0,414.0,722.0,705.0,669.0,735.0,699.0,806.0,651.0,706.0,785.0,832.0,763.0,581.0,666.0,840.0,695.0,559.0,738.0,690.0,711.0
13746.0,283.0,0.020587807362141716,2.2704554404137,170.0,228.0,373.0,723.0,665.0,700.0,625.0,728.0,494.0,774.0,700.0,619.0,771.0,700.0,533.0,652.0,792.0,763.0,548.0,803.0,659.0,726.0
14571.0,308.0,0.02113787660421385,2.27543331130995,130.0,176.0,350.0,726.0,726.0,754.0,675.0,789.0,616.0,927.0,715.0,663.0,738.0,664.0,784.0,756.0,743.0,589.0,794.0,734.0,700.0,822.0
