"year","Lli_ty","networth","debt","income","educ","rent","nstocks","age","anypoor","cluster","A"
"13388",2007,0.439907739212293,0.827082175727975,0.689627882584282,0.642209551328642,0.947157200179326,0,0,0.709858061987003,0,1,1
"13390",2007,0.443730153976345,0.888528972870185,0.773181571074996,0.717482216818909,1,0,0.697000131822532,0.688929920072318,0,2,1
"13391",2007,0.534836232390016,0.879851338272156,0.477884554630286,0.750682517617693,0.947157200179326,0,0.834483398804711,0.787123538794936,0,2,1
"13393",2007,0.44860156610125,0.738580376923469,0.719095524317408,0.624319168435059,0.917599920745785,0,0,0.427892573021986,0,1,1
"13394",2007,0.543648312597155,0.869157496958158,0,0.738280784783497,0.917599920745785,0,0.270601087339647,0.633277991890224,0,2,1
"13396",2007,0.476675742606564,0.940975574265132,0.897200411042784,0.917910953986927,1,0,0.518619077424475,0.871820447657421,0,2,1
"13397",2007,0.573780833921968,0.699481191389852,0,0.562715285202173,0.76787407005249,0.649871693212918,0,0.239374913899581,0,3,2
"13401",2007,0.527905477423135,0.914882646195597,0.84263021139611,0.812522505039055,1,0,0.593805306006329,0.932094291880716,0,2,1
"13403",2007,0.379950296474588,0.705321998924786,0.677668819117335,0.604953962384018,0.718564997310192,0,0,0.359230947375424,0,1,1
"13404",2007,0.504837212030532,0.845265164374632,0.807355254848024,0.66769436735963,0.947157200179326,0,0,0.787123538794936,0,1,1
"13405",2007,0.505690875654404,0.737448160202643,0.614942323299411,0.606142256698833,0.718564997310192,0.69232871878794,0,0.609532083821849,0,4,3
"13406",2007,0.495207014961919,0.891414706434886,0.811742113710984,0.794596270042238,0.850274158936154,0,0,0.633277991890224,0,1,1
"13407",2007,0.456019228131636,0.757551354209804,0.807858471746153,0.645932070651725,0.974523053676275,0,0.362142959789231,0.340802219683527,0,2,1
"13408",2007,0.422409944410603,0.77210052437491,0,0.574273032873293,0.811367753590791,0,0,0.813774635758431,0,2,1
"13409",2007,0.408840801220535,0.73939421400636,0.677818753991788,0.58000226877283,0.850274158936154,0,0,0.633277991890224,0,1,1
"13411",2007,0.44908747235634,0.813246279573305,0.739473364847612,0.657805585669949,0.947157200179326,0,0,0.6561443476105,0,1,1
"13412",2007,0.498595502788,0.75978066880448,0.597779404260003,0.58890854409275,0.811367753590791,0,0,0.787123538794936,0,1,1
"13413",2007,0.503317991621131,0.835724961900584,0.672801571903339,0.616640493720029,0.947157200179326,0,0,0.609532083821849,0,1,1
"13414",2007,0.477575864977849,0.775908224376876,0.710054567528469,0.647690233946093,0.947157200179326,0,0,0.504201838442645,0,1,1
"13415",2007,0.508871519821059,0.820795080806595,0.7311426859005,0.647936216557312,0.947157200179326,0,0.270601087339647,0.518393689604603,0,1,1
"13416",2007,0.531026821314359,0.664412250438842,0.555014693900981,0.57686421958015,0.850274158936154,0.706287952061237,0.270601087339647,0.193626596758032,0,4,3
"13417",2007,0.449738249868829,0.806758331112393,0,0.575400738440372,0.850274158936154,0,0,0.932094291880716,0,2,1
"13419",2007,0.419754879245295,0.764873763884952,0.693110916840028,0.603735454083023,0.850274158936154,0,0,0.321806259485764,0,1,1
"13420",2007,0.516677288151416,0.763221015106566,0.610649139503155,0.599882231313323,0.811367753590791,0,0,0.474800090648288,0,1,1
"13421",2007,0.497398721943304,0.805935831419586,0.718568958936508,0.664213467097339,0.947157200179326,0,0,0.644817064757229,0,1,1
"13422",2007,0.422802463425454,0.920152889329388,0.788435093828915,0.836377557772821,0.974523053676275,0,0,0.459556931289805,0,1,1
"13423",2007,0.454351363183805,0.829534363492028,0.759319955316827,0.685305275952163,0.947157200179326,0,0.418731157182544,0.688929920072318,0,2,1
"13424",2007,0.548894041492448,0.783141059824544,0.696020414204798,0.669916478666156,0.917599920745785,0,0,0.597307590733008,0,1,1
"13425",2007,0.381748609123782,0.93030396298671,0,0.899191396867658,0.974523053676275,0,0.873968081807889,0.768694811103039,0,2,1
"13426",2007,0.489076994585202,0.72821525354551,0.556013736799432,0.581004228089484,0.850274158936154,0.65949953722035,0,0.474800090648288,0,4,3
"13427",2007,0.570026957750457,0.816155531174513,0.418484999613958,0.58572200042454,0.850274158936154,0,0,0.966980415613347,0,2,1
"13428",2007,0.505288118745786,0.865575351236105,0,0.753020813757922,0.947157200179326,0,0.731595030668633,0.895118190855046,0,2,1
"13429",2007,0.489246318437709,0.903363361698606,0,0.770749447111761,0.511916068711829,0,0.780874080964528,0.946286290222878,0,2,1
"13430",2007,0.304488224199739,0.778487308262334,0.632874902544769,0.573891156186373,0.811367753590791,0,0,0.709858061987003,0,1,1
"13431",2007,0.47694796904375,0.79397355326433,0.552339874096724,0.617419786478657,0.811367753590791,0,0,0.621519176679091,0,1,1
"13432",2007,0.489586179226513,0.770395901178435,0.661155291919324,0.641278929890747,0.811367753590791,0,0,0.532266596665309,0,1,1
"13433",2007,0.557611532734838,0.826152084992574,0.381675704214889,0.66626528930952,0.974523053676275,0,0,0.822408520880161,0,2,1
"13434",2007,0.520335898070437,0.736280304350368,0.575117674683297,0.592679899326408,0.811367753590791,0.712859433160096,0,0.377125558107333,0,4,3
"13435",2007,0.516914389294944,0.768487287399799,0,0.57577081966105,0.811367753590791,0,0,0.980400895326616,0,2,1
"13436",2007,0.430545926808478,0.837549986989524,0.761862533041336,0.691620390237342,0.974523053676275,0,0.418731157182544,0.678193712917948,0,2,1
"13437",2007,0.401743981710581,0.769954711786243,0.580087711571769,0.649067731357043,0.850274158936154,0,0,0.545834550942895,0,1,1
"13438",2007,0.468744420167364,0.79801330921022,0.737698769875145,0.683665005803972,0.974523053676275,0,0.270601087339647,0.609532083821849,0,1,1
"13439",2007,0.434939403973778,0.826586979504003,0.771063870774241,0.716514381904613,0.594316153468586,0,0,0.72006177116363,0,1,1
"13440",2007,0.45093538301078,0.835198168153668,0.749227919248152,0.642301627243483,0.811367753590791,0,0,0.699482740692618,0,1,1
"13441",2007,0.457178642230552,0.7524527558006,0.672155938746522,0.588627456189991,0.718564997310192,0,0,0.847608715393519,0,1,1
"13442",2007,0.520857553334255,0.794003657250273,0.695236969203064,0.667640183601702,0.974523053676275,0,0.270601087339647,0.621519176679091,0,1,1
"13443",2007,0.461132580501991,0.758897567230424,0.580087711571769,0.609721849319803,0.811367753590791,0.699736058727016,0.541202174679293,0.777978055284417,0,4,3
"13444",2007,0.464944161121292,0.796645517862078,0.712429248526554,0.621136800093095,0.947157200179326,0,0,0.667267344340745,0,1,1
