"","X","period","earnings","random"
"259171",259171,1993.25,0.665045149096312,0.582214286318049
"211676",211676,1992.5,0.256267235802919,0.310762052889913
"75696",75696,1990.25,0.320491619520176,0.820333107607439
"281483",281483,1993.5,1.40474731643646,0.858493229141459
"206722",206722,1992.25,1.31358357013132,0.519041974330321
"652190",653124,2000.5,0.706390619871506,0.390372288180515
"344999",345156,1994.75,0.551481966782932,0.634538287296891
"111595",111595,1990.75,0.836783387088538,0.890785418916494
"239841",239841,1992.75,1.90306411530546,0.679512561298907
"308484",308515,1994,1.18951082035944,0.273557174950838
"206908",206908,1992.25,1.33804175244516,0.209096865030006
"652448",653382,2000.5,0.723204065546045,0.390372288180515
"525378",525991,1998,1.35495688937267,0.390372288180515
"677491",678461,2001,0.596751073051606,0.390372288180515
"30874",30874,1989.5,0.442125942269736,0.908811510773376
"458765",459236,1996.75,1.07583286760133,0.390372288180515
"525047",525660,1998,1.2950751447809,0.390372288180515
"266515",266515,1993.25,1.39762137991261,0.622119605308399
"235042",235042,1992.75,1.16318465170639,0.774480723077431
"498468",499026,1997.5,1.20017919755924,0.390372288180515
"387849",388143,1995.5,0.587217754712042,0.523894786369056
"195722",195722,1992,2.24903512759256,0.381348163820803
"86154",86154,1990.25,1.34705334954921,0.784587644971907
"389387",389681,1995.5,0.741017576602324,0.0568085731938481
"713088",714126,2001.5,1.48475061709469,0.390372288180515
"123810",123810,1991,0.541790071026027,0.335297814570367
"603990",604787,1999.5,1.27005288687718,0.390372288180515
"405228",405572,1995.75,0.893888443941909,0.390372288180515
"8775",8775,1989,1.13282940173852,0.89450122253038
"685451",686421,2001,1.52571282562477,0.390372288180515
"10551",10551,1989,1.32039836133208,0.223047247854993
"418608",418971,1996,0.924052687269612,0.390372288180515
"429969",430373,1996.25,0.778617910989588,0.390372288180515
"91305",91305,1990.5,0.318759009628762,0.723221813095734
"31747",31747,1989.5,0.561937007538407,0.954165328294039
"411528",411872,1995.75,1.72916289533251,0.390372288180515
"625092",625974,2000,0.663498716450559,0.390372288180515
"503320",503906,1997.75,0.24106223706245,0.390372288180515
"52148",52148,1989.75,1.04365248511428,0.633478704141453
"117518",117518,1990.75,1.42286601935503,0.318578875157982
"69229",69229,1990,1.22887422079505,0.0576358065009117
"441313",441751,1996.5,0.639786739242153,0.390372288180515
"698994",699988,2001.25,1.68750997956936,0.390372288180515
"514790",515376,1997.75,1.90731545569053,0.390372288180515
"447334",447772,1996.5,1.31137444563367,0.390372288180515
"543179",543853,1998.5,0.401837479134492,0.390372288180515
"540916",541570,1998.25,1.88534903727212,0.390372288180515
"483923",484447,1997.25,1.02651816408119,0.390372288180515
"146029",146029,1991.25,1.25239697207679,0.133041087072343
"544866",545540,1998.5,0.616461912079666,0.390372288180515
"154552",154552,1991.5,0.629710771567037,0.457705419044942
"711271",712309,2001.5,1.25453552591352,0.390372288180515
"245769",245769,1993,0.807557243709063,0.346584236249328
"555163",555859,1998.75,0.120358778706619,0.390372288180515
"308096",308127,1994,1.15714189254047,0.107024310156703
"632105",632987,2000,1.4457539678972,0.390372288180515
"71449",71449,1990,1.44839117916519,0.0445010950788856
"719046",720119,2001.75,0.569697828883191,0.390372288180515
"719496",720569,2001.75,0.600834251507005,0.390372288180515
"162404",162404,1991.5,1.40327592657509,0.976403030566871
"596414",597211,1999.5,0.484132241973535,0.390372288180515
"598551",599348,1999.5,0.704220415911336,0.390372288180515
"171161",171161,1991.75,0.750557712610675,0.148622672306374
