x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
8.180757498406965e-10,2.012812657402852e-9,3.3591684106309525e-9,5.464579880555859e-9,7.3256648032855635e-9,1.0704432507873732e-8,1.4027989136263161e-8,1.9276146716311153e-8,2.5878208340513924e-8,3.19407055889496e-8,4.184132475123258e-8,5.0153617811400786e-8,6.706535418276525e-8,3.682876783778608e-7
1.3210611204674774e-9,3.3591684106309525e-9,5.726950322003333e-9,9.517793352981206e-9,1.2926140227374486e-8,1.9202825620578994e-8,2.545366728629453e-8,3.5428174214009605e-8,4.8099011630532755e-8,5.981813498005395e-8,7.907626152854789e-8,9.532760181602459e-8,1.2855036440655638e-7,7.472715920618035e-7
2.085027348408763e-9,5.464579880555859e-9,9.517793352981206e-9,1.6198256614317388e-8,2.2344202170784933e-8,3.389284267392513e-8,4.5599519366535323e-8,6.456525458147472e-8,8.900100469774338e-8,1.1183707434224405e-7,1.4970245604482608e-7,1.8189052409594987e-7,2.481436487965566e-7,1.5581586310669744e-6
2.7468914253782518e-9,7.3256648032855635e-9,1.2926140227374486e-8,2.2344202170784933e-8,3.116075621012233e-8,4.79973044377948e-8,6.531227809375471e-8,9.371475651589728e-8,1.3073494500533085e-7,1.656251863604821e-7,2.2390071173186788e-7,2.737312091971569e-7,3.768591584370738e-7,2.510198941020185e-6
3.928856894375809e-9,1.0704432507873732e-8,1.9202825620578994e-8,3.389284267392513e-8,4.79973044377948e-8,7.561525890230549e-8,1.0468340224003287e-7,1.5334206582191437e-7,2.179747271054452e-7,2.797317789935395e-7,3.841036553324242e-7,4.7419795977032e-7,6.622836063791625e-7,4.825718139621573e-6
5.0751740752473465e-9,1.4027989136263161e-8,2.545366728629453e-8,4.5599519366535323e-8,6.531227809375471e-8,1.0468340224003287e-7,1.4693258468272937e-7,2.1892665675620985e-7,3.1618458387684805e-7,4.1026890818262326e-7,5.709635221350783e-7,7.108499641034512e-7,1.0051441582527193e-6,7.896966768727908e-6
6.863834634998065e-9,1.9276146716311153e-8,3.5428174214009605e-8,6.456525458147472e-8,9.371475651589728e-8,1.5334206582191437e-7,2.1892665675620985e-7,3.3346245591718843e-7,4.920269682957127e-7,6.482458733715666e-7,9.193032760153808e-7,1.1582401766577148e-6,1.666693016272524e-6,1.4542407252294946e-5
9.089060516496224e-9,2.5878208340513924e-8,4.8099011630532755e-8,8.900100469774338e-8,1.3073494500533085e-7,2.179747271054452e-7,3.1618458387684805e-7,4.920269682957127e-7,7.421063039869956e-7,9.937320969655135e-7,1.4384933725699464e-6,1.8363772930624871e-6,2.6944816415171983e-6,2.6356740328342114e-5
1.111577894483473e-8,3.19407055889496e-8,5.981813498005395e-8,1.1183707434224405e-7,1.656251863604821e-7,2.797317789935395e-7,4.1026890818262326e-7,6.482458733715666e-7,9.937320969655135e-7,1.3473116403130988e-6,1.98199867291036e-6,2.5568583909969587e-6,3.810640594308627e-6,4.078277896684248e-5
1.4402117740662095e-8,4.184132475123258e-8,7.907626152854789e-8,1.4970245604482608e-7,2.2390071173186788e-7,3.841036553324242e-7,5.709635221350783e-7,9.193032760153808e-7,1.4384933725699464e-6,1.98199867291036e-6,2.9787799603204134e-6,3.897597461680269e-6,5.934007936468084e-6,7.169604518518772e-5
1.7145142791184404e-8,5.0153617811400786e-8,9.532760181602459e-8,1.8189052409594987e-7,2.737312091971569e-7,4.7419795977032e-7,7.108499641034512e-7,1.1582401766577148e-6,1.8363772930624871e-6,2.5568583909969587e-6,3.897597461680269e-6,5.148698275462321e-6,7.953392957047959e-6,0.00010432811803998959
2.2695279326013775e-8,6.706535418276525e-8,1.2855036440655638e-7,2.481436487965566e-7,3.768591584370738e-7,6.622836063791625e-7,1.0051441582527193e-6,1.666693016272524e-6,2.6944816415171983e-6,3.810640594308627e-6,5.934007936468084e-6,7.953392957047959e-6,1.2563815839177988e-5,0.000187281646962854
1.1631588829935321e-7,3.682876783778608e-7,7.472715920618035e-7,1.5581586310669744e-6,2.510198941020185e-6,4.825718139621573e-6,7.896966768727908e-6,1.4542407252294946e-5,2.6356740328342114e-5,4.078277896684248e-5,7.169604518518772e-5,0.00010432811803998959,0.000187281646962854,0.006163211998060857
8.378379545457876e-10,1.7647292791792874e-9,2.71070469625581e-9,4.0971453553286944e-9,5.26956182142459e-9,7.322795828807674e-9,9.281468004428878e-9,1.2296709694796451e-8,1.6003190498466222e-8,1.9351199225510253e-8,2.4744222658352654e-8,2.9223319909152877e-8,3.824892654619263e-8,1.8506692365496797e-7
1.7647292791792874e-9,3.802605961637548e-9,5.915744535574885e-9,9.04723876898785e-9,1.1716309929285405e-8,1.6421749313989878e-8,2.0936867869101737e-8,2.7922915802955272e-8,3.655226722570403e-8,4.437560513088024e-8,5.701862230239493e-8,6.754775053629987e-8,8.882003735558605e-8,4.445982319932567e-7
2.71070469625581e-9,5.915744535574885e-9,9.277225858819346e-9,1.4307654894598751e-8,1.8628455901654726e-8,2.629860527189585e-8,3.3705208258151386e-8,4.5229876112169386e-8,5.954395984812409e-8,7.257575847747606e-8,9.371567607389609e-8,1.113771028254439e-7,1.47168409911369e-7,7.64832002024711e-7
4.0971453553286944e-9,9.04723876898785e-9,1.4307654894598751e-8,2.2300199327301368e-8,2.926235139942922e-8,4.179124620439363e-8,5.404779343739624e-8,7.33467755900221e-8,9.760007743322842e-8,1.1988138560469212e-7,1.5632146237297822e-7,1.8697492911360641e-7,2.495059397854229e-7,1.399880449228401e-6
5.26956182142459e-9,1.1716309929285405e-8,1.8628455901654726e-8,2.926235139942922e-8,3.8646431815957455e-8,5.576226640439731e-8,7.272569949191009e-8,9.975866905409293e-8,1.3413624514521469e-7,1.6600640156702724e-7,2.1855339350527226e-7,2.630563995491641e-7,3.544280744739599e-7,2.1368054026115137e-6
7.322795828807674e-9,1.6421749313989878e-8,2.629860527189585e-8,4.179124620439363e-8,5.576226640439731e-8,8.185110921921656e-8,1.0831466596028486e-7,1.5140014969878972e-7,2.073505678221186e-7,2.600472210412326e-7,3.48155936366714e-7,4.236408514317153e-7,5.803141473916833e-7,3.926663799282063e-6
9.281468004428878e-9,2.0936867869101737e-8,3.3705208258151386e-8,5.404779343739624e-8,7.272569949191009e-8,1.0831466596028486e-7,1.4515742172117338e-7,2.0630059477820765e-7,2.871972396660035e-7,3.6446227850243885e-7,4.952383796077237e-7,6.083963174132514e-7,8.454453206998973e-7,6.280977068923251e-6
1.2296709694796451e-8,2.7922915802955272e-8,4.5229876112169386e-8,7.33467755900221e-8,9.975866905409293e-8,1.5140014969878972e-7,2.0630059477820765e-7,2.998271361260531e-7,4.2687054324085643e-7,5.5065127767125e-7,7.638387985373428e-7,9.509161049344606e-7,1.3479360841316699e-6,1.132740833123303e-5
1.6003190498466222e-8,3.655226722570403e-8,5.954395984812409e-8,9.760007743322842e-8,1.3413624514521469e-7,2.073505678221186e-7,2.871972396660035e-7,4.2687054324085643e-7,6.220819145665675e-7,8.166172723782385e-7,1.1584680077497236e-6,1.4633567541747976e-6,2.120137782249336e-6,2.0311285190023983e-5
1.9351199225510253e-8,4.437560513088024e-8,7.257575847747606e-8,1.1988138560469212e-7,1.6600640156702724e-7,2.600472210412326e-7,3.6446227850243885e-7,5.5065127767125e-7,8.166172723782385e-7,1.0865673419430737e-6,1.5690722079283198e-6,2.0054078049247133e-6,2.9574357632844304e-6,3.1446546344458346e-5
2.4744222658352654e-8,5.701862230239493e-8,9.371567607389609e-8,1.5632146237297822e-7,2.1855339350527226e-7,3.48155936366714e-7,4.952383796077237e-7,7.638387985373428e-7,1.1584680077497236e-6,1.5690722079283198e-6,2.320994652060613e-6,3.0148760634183053e-6,4.557687566885479e-6,5.594578978213928e-5
2.9223319909152877e-8,6.754775053629987e-8,1.113771028254439e-7,1.8697492911360641e-7,2.630563995491641e-7,4.236408514317153e-7,6.083963174132514e-7,9.509161049344606e-7,1.4633567541747976e-6,2.0054078049247133e-6,3.0148760634183053e-6,3.960024481936448e-6,6.09074720868686e-6,8.255740798678784e-5
3.824892654619263e-8,8.882003735558605e-8,1.47168409911369e-7,2.495059397854229e-7,3.544280744739599e-7,5.803141473916833e-7,8.454453206998973e-7,1.3479360841316699e-6,2.120137782249336e-6,2.9574357632844304e-6,4.557687566885479e-6,6.09074720868686e-6,9.625905707920028e-6,0.0001525196975249594
1.8506692365496797e-7,4.445982319932567e-7,7.64832002024711e-7,1.399880449228401e-6,2.1368054026115137e-6,3.926663799282063e-6,6.280977068923251e-6,1.132740833123303e-5,2.0311285190023983e-5,3.1446546344458346e-5,5.594578978213928e-5,8.255740798678784e-5,0.0001525196975249594,0.006095821908096602
1.5228366255771353e-9,3.0374989248447766e-9,4.541025471525182e-9,6.7055203342402025e-9,8.513436442588324e-9,1.1647781253918858e-8,1.4611610561587868e-8,1.9140049674427197e-8,2.4666909790885498e-8,2.963209197883672e-8,3.7590302496767954e-8,4.417139119571614e-8,5.7374980410748924e-8,2.612242141882396e-7
3.0374989248447766e-9,6.15316321074577e-9,9.278855327298143e-9,1.3812556135700583e-8,1.7620075152461555e-8,2.4251809053337562e-8,3.054883141243781e-8,4.020499053593679e-8,5.203144600774494e-8,6.268431259463987e-8,7.979938598287315e-8,9.398112804669133e-8,1.224886839358559e-7,5.722503030038184e-7
4.541025471525182e-9,9.278855327298143e-9,1.4069905296645663e-8,2.107089140915084e-8,2.6986703749715654e-8,3.734922818042482e-8,4.724135305759378e-8,6.248417465691073e-8,8.124313290884238e-8,9.820382357995785e-8,1.2554558160235125e-7,1.4826644110277024e-7,1.9406621436416161e-7,9.387883886372491e-7
