x1,x2,x3,x4,x5,x6
4.010720820523378e-7,5.765828357533291e-7,8.311225262137559e-7,1.1745317533304064e-6,1.6331952207463016e-6,6.7229831499966296e-6
5.765828357533291e-7,8.856964869976544e-7,1.3819480909001623e-6,2.105160056839815e-6,3.1244229117724537e-6,1.820290119673912e-5
8.311225262137559e-7,1.3819480909001623e-6,2.371549341775404e-6,3.939547512142753e-6,6.27391952908285e-6,4.9302147568066866e-5
1.1745317533304064e-6,2.105160056839815e-6,3.939547512142753e-6,7.059591921479404e-6,1.1926130483742632e-5,0.00011687653164222053
1.6331952207463016e-6,3.1244229117724537e-6,6.27391952908285e-6,1.1926130483742632e-5,2.1074510817545484e-5,0.00024296467215936804
6.7229831499966296e-6,1.820290119673912e-5,4.9302147568066866e-5,0.00011687653164222053,0.00024296467215936804,0.005271564025793397
2.2512979976142276e-7,3.4131075830090303e-7,5.164997977736431e-7,7.599724872932725e-7,1.0924346150620246e-6,5.318943822343441e-6
3.4131075830090303e-7,5.600195476542263e-7,9.243932796038419e-7,1.469599400078997e-6,2.2526431846772903e-6,1.4874559539489622e-5
5.164997977736431e-7,9.243932796038419e-7,1.6816208754694595e-6,2.9106402816145563e-6,4.772634465838633e-6,4.13166792556315e-5
7.599724872932725e-7,1.469599400078997e-6,2.9106402816145563e-6,5.424562273365596e-6,9.423207599685405e-6,0.00010097434319147301
1.0924346150620246e-6,2.2526431846772903e-6,4.772634465838633e-6,9.423207599685405e-6,1.7125981472802285e-5,0.0002163384770025145
5.318943822343441e-6,1.4874559539489622e-5,4.13166792556315e-5,0.00010097434319147301,0.0002163384770025145,0.005189029710552567
1.0883854084002258e-7,1.8727803083503072e-7,3.1327708869821295e-7,4.963110475164692e-7,7.541543955885457e-7,4.612117967653887e-6
1.8727803083503072e-7,3.515635006336538e-7,6.393338769805681e-7,1.084178252352923e-6,1.7374427932836347e-6,1.3304792308693023e-5
3.1327708869821295e-7,6.393338769805681e-7,1.2662199148820428e-6,2.3068523770618108e-6,3.908764130345238e-6,3.7214386443523794e-5
4.963110475164692e-7,1.084178252352923e-6,2.3068523770618108e-6,4.478031206163551e-6,7.981548165805315e-6,9.206084291201854e-5
7.541543955885457e-7,1.7374427932836347e-6,3.908764130345238e-6,7.981548165805315e-6,1.4833641164026321e-5,0.00020087352675199452
4.612117967653887e-6,1.3304792308693023e-5,3.7214386443523794e-5,9.206084291201854e-5,0.00020087352675199452,0.005280029183781557
1.1578150695799223e-7,1.9916566293908302e-7,3.3231975912907207e-7,5.253791080883831e-7,7.975411083224983e-7,4.912003241335387e-6
1.9916566293908302e-7,3.7013897256297725e-7,6.653961498982919e-7,1.1188822740712673e-6,1.783849542305033e-6,1.3586532094582064e-5
3.3231975912907207e-7,6.653961498982919e-7,1.2920078825904191e-6,2.321535073125505e-6,3.9018245494189e-6,3.67535229508126e-5
5.253791080883831e-7,1.1188822740712673e-6,2.321535073125505e-6,4.431985570675644e-6,7.828964454067306e-6,8.961114024198405e-5
7.975411083224983e-7,1.783849542305033e-6,3.9018245494189e-6,7.828964454067306e-6,1.443177525087593e-5,0.0001956550649798119
4.912003241335387e-6,1.3586532094582064e-5,3.67535229508126e-5,8.961114024198405e-5,0.0001956550649798119,0.0054340978552305805
2.0799310129700977e-7,3.3704981528865965e-7,5.351168392233875e-7,8.147921657414638e-7,1.202550102413667e-6,6.649464201288981e-6
3.3704981528865965e-7,5.802453807535557e-7,9.792606173189493e-7,1.572549649550026e-6,2.426011718636083e-6,1.6573860007721106e-5
5.351168392233875e-7,9.792606173189493e-7,1.7651134290629957e-6,3.0083251827957097e-6,4.877070458827833e-6,4.1442567961237165e-5
8.147921657414638e-7,1.572549649550026e-6,3.0083251827957097e-6,5.426376482390971e-6,9.235298264571511e-6,9.631551711137246e-5
1.202550102413667e-6,2.426011718636083e-6,4.877070458827833e-6,9.235298264571511e-6,1.6411202772194315e-5,0.00020526287323571247
6.649464201288981e-6,1.6573860007721106e-5,4.1442567961237165e-5,9.631551711137246e-5,0.00020526287323571247,0.005612996759977615
4.4020567849992773e-7,6.569007723655982e-7,9.71715022960135e-7,1.3988827490633653e-6,1.9748064679999503e-6,8.918182475399975e-6
6.569007723655982e-7,1.024289227472112e-6,1.5902680097000085e-6,2.39625747592846e-6,3.5231146511528705e-6,2.000564446802008e-5
9.71715022960135e-7,1.5902680097000085e-6,2.6127819827920324e-6,4.16005251454342e-6,6.422803789910598e-6,4.660415919649617e-5
1.3988827490633653e-6,2.39625747592846e-6,4.16005251454342e-6,7.0027546244500056e-6,1.1366173603508763e-5,0.00010385834555767727
1.9748064679999503e-6,3.5231146511528705e-6,6.422803789910598e-6,1.1366173603508763e-5,1.9312080510482257e-5,0.00021610035160670032
8.918182475399975e-6,2.000564446802008e-5,4.660415919649617e-5,0.00010385834555767727,0.00021610035160670032,0.005658947894051505
5.23778231409883e-7,7.688970781666681e-7,1.1211887821558491e-6,1.5950162764408217e-6,2.2291243089353375e-6,9.47748436619675e-6
7.688970781666681e-7,1.1770908099107545e-6,1.7995378175778232e-6,2.6788176940471942e-6,3.8997343562862665e-6,2.102783364559168e-5
1.1211887821558491e-6,1.7995378175778232e-6,2.911167559591756e-6,4.581766214594288e-6,7.0096792442560365e-6,4.8700597225028374e-5
1.5950162764408217e-6,2.6788176940471942e-6,4.581766214594288e-6,7.629991828772379e-6,1.2279506429228379e-5,0.00010782991197586317
2.2291243089353375e-6,3.8997343562862665e-6,7.0096792442560365e-6,1.2279506429228379e-5,2.0689942015303122e-5,0.00022226386116757076
9.47748436619675e-6,2.102783364559168e-5,4.8700597225028374e-5,0.00010782991197586317,0.00022226386116757076,0.005442706882184684
3.4884603935898213e-7,5.232196833775987e-7,7.804615234387235e-7,1.132649812429878e-6,1.60878937833766e-6,7.311371145372815e-6
5.232196833775987e-7,8.3236214514802e-7,1.3250339705979267e-6,2.041351734787155e-6,3.0518781891283225e-6,1.8062855815058297e-5
7.804615234387235e-7,1.3250339705979267e-6,2.273099434593155e-6,3.752331860602163e-6,5.942486889312173e-6,4.542631015862601e-5
1.132649812429878e-6,2.041351734787155e-6,3.752331860602163e-6,6.607235321787957e-6,1.103859035689362e-5,0.00010481803966870213
1.60878937833766e-6,3.0518781891283225e-6,5.942486889312173e-6,1.103859035689362e-5,1.928151636786222e-5,0.00021803621690837907
7.311371145372815e-6,1.8062855815058297e-5,4.542631015862601e-5,0.00010481803966870213,0.00021803621690837907,0.0048675324975434395
2.2446102989403524e-7,3.376741274134077e-7,5.085317705719319e-7,7.450388106486761e-7,1.0657358052042247e-6,4.902219566242144e-6
3.376741274134077e-7,5.549053956195175e-7,9.216868333987679e-7,1.4713102181505241e-6,2.256354716916256e-6,1.430387612316788e-5
5.085317705719319e-7,9.216868333987679e-7,1.7064997495069955e-6,2.9846345027619576e-6,4.907063106534503e-6,4.0601033235183214e-5
7.450388106486761e-7,1.4713102181505241e-6,2.9846345027619576e-6,5.625709731067933e-6,9.775194243784706e-6,9.814954552881528e-5
1.0657358052042247e-6,2.256354716916256e-6,4.907063106534503e-6,9.775194243784706e-6,1.7687456764653924e-5,0.00020411186027450505
4.902219566242144e-6,1.430387612316788e-5,4.0601033235183214e-5,9.814954552881528e-5,0.00020411186027450505,0.003917098265455401
