x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
6.219973764903232e-9,3.172220625909465e-7,1.2903934191811737e-6,2.6830966791243585e-6,3.8109330330577385e-6,4.777202100285709e-6,5.745332198404907e-6,6.656533866525245e-6,7.553077397837556e-6,8.487293361629367e-6,9.424031123134933e-6,1.0379611765129936e-5,1.1396786223978961e-5,1.25096553134232e-5,1.372212818465726e-5,1.5065931528635452e-5,1.6642409239561097e-5,1.8573452485974623e-5,2.102556178584795e-5,2.4554845868262355e-5,3.0244253708562514e-5,0.00017781178634541768
6.729183668618953e-9,3.453710017130221e-7,1.410588468240562e-6,2.9403300870618076e-6,4.181644109915637e-6,5.2465047641466345e-6,6.314529348000635e-6,7.320686815215449e-6,8.311494751459111e-6,9.34478169353994e-6,1.0381690320684634e-5,1.144027869370772e-5,1.25679677091086e-5,1.3802714418232322e-5,1.5149045138755662e-5,1.6642409239561097e-5,1.8395810024072756e-5,2.054549435444315e-5,2.3277907964509785e-5,2.7215029409428485e-5,3.357050745520941e-5,0.00020107634788534256
7.342558207434829e-9,3.79421384145065e-7,1.5564025755887749e-6,3.2529643444173614e-6,4.63263832692023e-6,5.817844557506993e-6,7.007926025177447e-6,8.130216344351703e-6,9.23641893244394e-6,1.0391102858233845e-5,1.1550882463790402e-5,1.2735955592013046e-5,1.3999498143284354e-5,1.5384245637866093e-5,1.6895532078710376e-5,1.8573452485974623e-5,2.054549435444315e-5,2.2965814841325125e-5,2.604582465550085e-5,3.0489768674022046e-5,3.767513512811241e-5,0.0002306959574587002
8.107695110156909e-9,4.220873462556703e-7,1.7396702229596102e-6,3.6466629512847315e-6,5.201161566675336e-6,6.538611808131304e-6,7.883264238107054e-6,9.152771778995036e-6,1.040540077785875e-5,1.1714288056099852e-5,1.3030315438660154e-5,1.4376415432144866e-5,1.581312014055451e-5,1.738930980300038e-5,1.911141817844185e-5,2.102556178584795e-5,2.3277907964509785e-5,2.604582465550085e-5,2.957319923132852e-5,3.467102926668473e-5,4.293031630632037e-5,0.00026998592550548804
9.187115005937603e-9,4.825830293599624e-7,2.0004151330131016e-6,4.208013111728039e-6,6.012721555916589e-6,7.5683543065843e-6,9.134783934899583e-6,1.061575621599856e-5,1.2078948070040863e-5,1.360984169906022e-5,1.5151098989616445e-5,1.6729618240510143e-5,1.8416599363115628e-5,2.02698946825675e-5,2.2297646715497784e-5,2.4554845868262355e-5,2.7215029409428485e-5,3.0489768674022046e-5,3.467102926668473e-5,4.0727403553450895e-5,5.05667283105948e-5,0.00032954258056474265
1.0885908090694249e-8,5.783721947068146e-7,2.4149772829215707e-6,5.102820014778206e-6,7.308153938600738e-6,9.213684613263647e-6,1.1136273571811658e-5,1.295730117287843e-5,1.475954770260591e-5,1.6648424313657392e-5,1.8553404786305783e-5,2.050784048487319e-5,2.2600285977919724e-5,2.4903310185785923e-5,2.7428062589063715e-5,3.0244253708562514e-5,3.357050745520941e-5,3.767513512811241e-5,4.293031630632037e-5,5.05667283105948e-5,6.302265007039752e-5,0.00043198540997153515
4.1932140388983866e-8,2.5224854565001176e-6,1.137824671463458e-5,2.518596664993006e-5,3.694715390972837e-5,4.7370211507893606e-5,5.81159231773285e-5,6.850155732613321e-5,7.898098351398543e-5,9.01849206426059e-5,0.00010172011465230913,0.00011380593508965043,0.00012702980804134802,0.00014192443813789554,0.0001586579135819794,0.00017781178634541768,0.00020107634788534256,0.0002306959574587002,0.00026998592550548804,0.00032954258056474265,0.00043198540997153515,0.0054403628079836555
6.22951355489366e-10,6.271425750586517e-9,1.5478827093397546e-8,2.5299926585421578e-8,3.221463234766616e-8,3.7718708185459334e-8,4.295588702719503e-8,4.768684647970829e-8,5.2188526490098616e-8,5.674365484137446e-8,6.11924032559825e-8,6.562496956527767e-8,7.0241205313306e-8,7.518650995187417e-8,8.04652817861654e-8,8.620022952628535e-8,9.279433093991592e-8,1.0070334932545769e-7,1.1052275048548536e-7,1.2429930957026186e-7,1.45831381127539e-7,4.891355343915133e-7
6.271425750586517e-9,9.179550083266914e-8,2.54721629728611e-7,4.3920153578671343e-7,5.726666830575293e-7,6.803768388611697e-7,7.838284207347261e-7,8.779586581479078e-7,9.680419382736676e-7,1.0596431263856962e-6,1.1494913222189424e-6,1.2393521266835924e-6,1.3332603515592843e-6,1.4341931447888965e-6,1.542271384694182e-6,1.6600464364647662e-6,1.7958765812830794e-6,1.959306804721003e-6,2.1628949116563806e-6,2.449612505453908e-6,2.8998008706796124e-6,1.0784876345679455e-5
1.5478827093397546e-8,2.54721629728611e-7,7.384854452274969e-7,1.3006394277275493e-6,1.7122731038977582e-6,2.0465180107805063e-6,2.3688917128344616e-6,2.6631652148606706e-6,2.945506638263625e-6,3.233232539988504e-6,3.515992501773335e-6,3.7992669897325134e-6,4.095753534198142e-6,4.414879909689042e-6,4.757072979038184e-6,5.130466405055238e-6,5.561675562397214e-6,6.081221901518791e-6,6.729380645824387e-6,7.64370544029265e-6,9.082191514796162e-6,3.523385093608489e-5
