x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
9.2955395814797e-8,1.7956416899742198e-6,5.561420225534293e-6,1.0151005292504234e-5,1.3605025288447329e-5,1.645657358594662e-5,1.9242224966135194e-5,2.4302253215448665e-5,2.6860665360272853e-5,3.195117526426994e-5,3.756349850087256e-5,4.071298983053391e-5,4.819048259619279e-5,5.3065543476537056e-5,5.919120394440356e-5,6.790307366668292e-5,8.174535817761341e-5,0.0003766223709039279
1.0087330672523958e-7,1.9590499256669698e-6,6.080951546926548e-6,1.111345058191081e-5,1.490539501144233e-5,1.803867895386203e-5,2.110195582552491e-5,2.6672403580997666e-5,2.9491861800388643e-5,3.5107459703440375e-5,4.1306840879409635e-5,4.47891757993926e-5,5.3065543476537056e-5,5.846721384021474e-5,6.526011107654494e-5,7.492999173856514e-5,9.031210071461648e-5,0.00042347474778951604
1.1070348625194984e-7,2.16261102518662e-6,6.729092215980924e-6,1.2315236758464098e-5,1.6530020746135305e-5,2.0016132663534976e-5,2.3427378506345e-5,2.963839913955166e-5,3.278590497193633e-5,3.906227357981228e-5,4.6001814246005475e-5,4.9904422503957054e-5,5.919120394440356e-5,6.526011107654494e-5,7.28996064380529e-5,8.378700863466509e-5,0.00010112998997530609,0.00048427480806104427
1.2449475003683055e-7,2.449291247388616e-6,7.643392715194502e-6,1.401226764886245e-5,1.8825539628595115e-5,2.2811519070083227e-5,2.6716210772036194e-5,3.3836940503274225e-5,3.745102824181717e-5,4.4668688080436805e-5,5.266490336450592e-5,5.7168532376908066e-5,6.790307366668292e-5,7.492999173856514e-5,8.378700863466509e-5,9.6428746536196e-5,0.00011660391760694477,0.0005740712801832723
1.460490151104681e-7,2.899422159796248e-6,9.081842692356047e-6,1.6685453641228962e-5,2.24441325513625e-5,2.722063610489438e-5,3.1906579841305154e-5,4.047016303307068e-5,4.482563381499939e-5,5.354182272033436e-5,6.322469132685223e-5,6.868965574170192e-5,8.174535817761341e-5,9.031210071461648e-5,0.00010112998997530609,0.00011660391760694477,0.00014136505361003797,0.0007235836833029913
4.894264710597504e-7,1.0783834560287085e-5,3.523353334740373e-5,6.636411356904759e-5,9.055494077647448e-5,0.00011102891744467269,0.00013150448998268673,0.00017002086524522817,0.0001901862001324636,0.0002317364243236701,0.00027974080779531545,0.00030766113079427833,0.0003766223709039279,0.00042347474778951604,0.00048427480806104427,0.0005740712801832723,0.0007235836833029913,0.0062673950038649
9.010469569426984e-9,6.066045751254961e-8,1.347936364804306e-7,2.102080511596923e-7,2.6212343450227353e-7,3.029505860016945e-7,3.414610101323262e-7,4.086823114053894e-7,4.415771804550423e-7,5.05275266674732e-7,5.732896805789304e-7,6.10622176582808e-7,6.972958078448048e-7,7.52559712265823e-7,8.208560068568213e-7,9.161618374124935e-7,1.064125963831128e-6,3.0857522959535084e-6
6.066045751254961e-8,4.712138959696125e-7,1.1004119961722806e-6,1.758002777939697e-6,2.2165112507384376e-6,2.5794609811975605e-6,2.9233526893275646e-6,3.5265240518522686e-6,3.822805868874086e-6,4.398250055869308e-6,5.014788254487382e-6,5.35397909687716e-6,6.1432564471005125e-6,6.647632337786139e-6,7.2719803066704e-6,8.144876604109961e-6,9.503170106948886e-6,2.916551503333943e-5
1.347936364804306e-7,1.1004119961722806e-6,2.6226611699521247e-6,4.23560085227418e-6,5.367955235534793e-6,6.267525241611142e-6,7.121963966548667e-6,8.624609289798157e-6,9.364269409182269e-6,1.0803245542607902e-5,1.2347914634276207e-5,1.3198808121476217e-5,1.5181290515824045e-5,1.6449740660953035e-5,1.802134757313158e-5,2.0220883938149743e-5,2.3647869610913012e-5,7.47561922538846e-5
2.102080511596923e-7,1.758002777939697e-6,4.23560085227418e-6,6.884173665386057e-6,8.75271957263028e-6,1.0241107683183207e-5,1.165747670180165e-5,1.4153468399227855e-5,1.5384097162055257e-5,1.7781353993490907e-5,2.0358535723036594e-5,2.1779629969112543e-5,2.5093920396761507e-5,2.721658407355516e-5,2.9848468278979767e-5,3.3534941316460334e-5,3.9284404082972946e-5,0.00012697475774437793
2.6212343450227353e-7,2.2165112507384376e-6,5.367955235534793e-6,8.75271957263028e-6,1.11475120662988e-5,1.3058266815170912e-5,1.4878758593649747e-5,1.8091234469574612e-5,1.967683676569494e-5,2.276828469897467e-5,2.6095116643236045e-5,2.7930836006422145e-5,3.221503404855731e-5,3.496072408061979e-5,3.836678661756041e-5,4.314033479221908e-5,5.059031901478717e-5,0.0001659132982968217
3.029505860016945e-7,2.5794609811975605e-6,6.267525241611142e-6,1.0241107683183207e-5,1.3058266815170912e-5,1.5308852491899165e-5,1.7455136781053905e-5,2.1246571124521793e-5,2.3119569665459122e-5,2.677396177650615e-5,3.0709861473054784e-5,3.288288765316883e-5,3.795715015463458e-5,4.1210993143118105e-5,4.524909050249569e-5,5.091107555095377e-5,5.975266865600395e-5,0.00019827297445931631
3.414610101323262e-7,2.9233526893275646e-6,7.121963966548667e-6,1.165747670180165e-5,1.4878758593649747e-5,1.7455136781053905e-5,1.9914274457198866e-5,2.426281833200655e-5,2.6412853576185666e-5,3.061070443769243e-5,3.513562293450054e-5,3.7635248008549754e-5,4.347542562617152e-5,4.7222483046327645e-5,5.187458370119344e-5,5.840053494550197e-5,6.859707731671281e-5,0.00023023531537187615
4.086823114053894e-7,3.5265240518522686e-6,8.624609289798157e-6,1.4153468399227855e-5,1.8091234469574612e-5,2.1246571124521793e-5,2.426281833200655e-5,2.9606087654235498e-5,3.2251946246847784e-5,3.742443959020798e-5,4.3008299699483227e-5,4.609608822477514e-5,5.331796051631894e-5,5.795628877912266e-5,6.371934536405932e-5,7.181078372877202e-5,8.446677389015071e-5,0.0002894299983010769
4.415771804550423e-7,3.822805868874086e-6,9.364269409182269e-6,1.5384097162055257e-5,1.967683676569494e-5,2.3119569665459122e-5,2.6412853576185666e-5,3.2251946246847784e-5,3.514548146293022e-5,4.080576421547965e-5,4.692083150595703e-5,5.030414541243545e-5,5.822140159362919e-5,6.330902733216779e-5,6.963281059214182e-5,7.851548392340787e-5,9.24166319520699e-5,0.00031997216419782414
5.05275266674732e-7,4.398250055869308e-6,1.0803245542607902e-5,1.7781353993490907e-5,2.276828469897467e-5,2.677396177650615e-5,3.061070443769243e-5,3.742443959020798e-5,4.080576421547965e-5,4.7428407311697425e-5,5.459375807192574e-5,5.8562270576482036e-5,6.785868785681201e-5,7.383880695112016e-5,8.127773351879298e-5,9.173606701741603e-5,0.00010812082425456417,0.0003819939174397385
5.732896805789304e-7,5.014788254487382e-6,1.2347914634276207e-5,2.0358535723036594e-5,2.6095116643236045e-5,3.0709861473054784e-5,3.513562293450054e-5,4.3008299699483227e-5,4.692083150595703e-5,5.459375807192574e-5,6.290847290931433e-5,6.751864879611003e-5,7.833037459226108e-5,8.529309105722071e-5,9.396161896157847e-5,0.00010616035748987422,0.00012529419459611109,0.00045224375959547014
6.10622176582808e-7,5.35397909687716e-6,1.3198808121476217e-5,2.1779629969112543e-5,2.7930836006422145e-5,3.288288765316883e-5,3.7635248008549754e-5,4.609608822477514e-5,5.030414541243545e-5,5.8562270576482036e-5,6.751864879611003e-5,7.248756630617737e-5,8.414774890173123e-5,9.166148123841315e-5,0.00010102032779165445,0.000114197432905806,0.00013487911225602508,0.000492476155817775
6.972958078448048e-7,6.1432564471005125e-6,1.5181290515824045e-5,2.5093920396761507e-5,3.221503404855731e-5,3.795715015463458e-5,4.347542562617152e-5,5.331796051631894e-5,5.822140159362919e-5,6.785868785681201e-5,7.833037459226108e-5,8.414774890173123e-5,9.781782183280056e-5,0.00010663897010086177,0.00011763778418659146,0.00013314244436167256,0.00015751280651316572,0.00059012024700515
