x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
9.22503918442946e-10,2.294518702873061e-9,3.827843302340894e-9,6.203001745053293e-9,1.2022296491088549e-8,2.1308243248161886e-8,3.4588244050409336e-8,5.298748779649244e-8,6.956593094858854e-8,3.050969807842182e-7
2.294518702873061e-9,6.1970202105354e-9,1.0832614013968403e-8,1.830507498717291e-8,3.736039028287289e-8,6.879341028917587e-8,1.1473847204384405e-7,1.793056795507129e-7,2.3796990953557517e-7,1.1230821563423893e-6
3.827843302340894e-9,1.0832614013968403e-8,1.9509001413659614e-8,3.3931701270244766e-8,7.190842653293474e-8,1.3624733492803993e-7,2.31942657434434e-7,3.6793700609313735e-7,4.923000015489751e-7,2.452411299357068e-6
6.203001745053293e-9,1.830507498717291e-8,3.3931701270244766e-8,6.084290024515676e-8,1.3463908144242145e-7,2.6408801575272025e-7,4.6105710944513246e-7,7.450492154918496e-7,1.0069051095308608e-6,5.356433378193645e-6
1.2022296491088549e-8,3.736039028287289e-8,7.190842653293474e-8,1.3463908144242145e-7,3.196767074792465e-7,6.677295694211065e-7,1.2227507843605412e-6,2.0468679679316924e-6,2.819367997851222e-6,1.6941150438377124e-5
2.1308243248161886e-8,6.879341028917587e-8,1.3624733492803993e-7,2.6408801575272025e-7,6.677295694211065e-7,1.4876902744762685e-6,2.8714235230405153e-6,5.0003128146629485e-6,7.035010933565116e-6,4.8202976420118706e-5
3.4588244050409336e-8,1.1473847204384405e-7,2.31942657434434e-7,4.6105710944513246e-7,1.2227507843605412e-6,2.8714235230405153e-6,5.803154384583765e-6,1.0471963245863293e-5,1.5018655201164493e-5,0.00011567882109774196
5.298748779649244e-8,1.793056795507129e-7,3.6793700609313735e-7,7.450492154918496e-7,2.0468679679316924e-6,5.0003128146629485e-6,1.0471963245863293e-5,1.9442209342704038e-5,2.8320887583190068e-5,0.0002403014232766931
6.956593094858854e-8,2.3796990953557517e-7,4.923000015489751e-7,1.0069051095308608e-6,2.819367997851222e-6,7.035010933565116e-6,1.5018655201164493e-5,2.8320887583190068e-5,4.161219170303979e-5,0.0003733940626493648
3.050969807842182e-7,1.1230821563423893e-6,2.452411299357068e-6,5.356433378193645e-6,1.6941150438377124e-5,4.8202976420118706e-5,0.00011567882109774196,0.0002403014232766931,0.0003733940626493648,0.005225417294017591
5.389257205144948e-10,1.4675301073435056e-9,2.5350547578051118e-9,4.215116462586428e-9,8.400369778846743e-9,1.5197675942826164e-8,2.509118113206078e-8,3.903255570110685e-8,5.174575794092007e-8,2.490732186431748e-7
1.4675301073435056e-9,4.24116652080702e-9,7.56164760672358e-9,1.2925651248493079e-8,2.664386686268208e-8,4.942114087348297e-8,8.30714632024577e-8,1.3096506699263114e-7,1.7489719333296594e-7,8.839133118910965e-7
2.5350547578051118e-9,7.56164760672358e-9,1.3748171984366626e-8,2.395777560498468e-8,5.068289701249885e-8,9.596385615212837e-8,1.6379505037469277e-7,2.612391886451874e-7,3.51112175810454e-7,1.8524184413446777e-6
4.215116462586428e-9,1.2925651248493079e-8,2.395777560498468e-8,4.26685400392374e-8,9.333047867121654e-8,1.8185165997042536e-7,3.1731934759380054e-7,5.147222697777449e-7,6.983031887332505e-7,3.921364515747566e-6
8.400369778846743e-9,2.664386686268208e-8,5.068289701249885e-8,9.333047867121654e-8,2.1676422490044972e-7,4.475316846867186e-7,8.181237053401359e-7,1.375618426981687e-6,1.9035846104755249e-6,1.2146620793352588e-5
1.5197675942826164e-8,4.942114087348297e-8,9.596385615212837e-8,1.8185165997042536e-7,4.475316846867186e-7,9.860803881887577e-7,1.9082877508227627e-6,3.3561185424942294e-6,4.760302652263062e-6,3.536458014482849e-5
2.509118113206078e-8,8.30714632024577e-8,1.6379505037469277e-7,3.1731934759380054e-7,8.181237053401359e-7,1.9082877508227627e-6,3.899199924254982e-6,7.169643706863685e-6,1.0421854892860455e-5,8.954156741260857e-5
3.903255570110685e-8,1.3096506699263114e-7,2.612391886451874e-7,5.147222697777449e-7,1.375618426981687e-6,3.3561185424942294e-6,7.169643706863685e-6,1.36922000390571e-5,2.033000134862801e-5,0.00019809065621143452
5.174575794092007e-8,1.7489719333296594e-7,3.51112175810454e-7,6.983031887332505e-7,1.9035846104755249e-6,4.760302652263062e-6,1.0421854892860455e-5,2.033000134862801e-5,3.055341659469454e-5,0.000320598563576704
2.490732186431748e-7,8.839133118910965e-7,1.8524184413446777e-6,3.921364515747566e-6,1.2146620793352588e-5,3.536458014482849e-5,8.954156741260857e-5,0.00019809065621143452,0.000320598563576704,0.005715126237825345
2.0427655095599712e-10,6.065045949518885e-10,1.0857443105527037e-9,1.855824324524124e-9,3.815141161844576e-9,7.064387672722732e-9,1.1885254483219482e-8,1.8804113392286118e-8,2.5201408549465435e-8,1.347850146992926e-7
6.065045949518885e-10,1.922549854882922e-9,3.557529817518642e-9,6.254133724068707e-9,1.329376348899535e-8,2.5220433415541658e-8,4.3174620421437364e-8,6.919768424649598e-8,9.340070915967755e-8,5.229239047947882e-7
1.0857443105527037e-9,3.557529817518642e-9,6.710480490233591e-9,1.2012625110345936e-8,2.614265271840043e-8,5.051164634169355e-8,8.764952639723038e-8,1.4193076366378914e-7,1.926674984283229e-7,1.1194109489319952e-6
1.855824324524124e-9,6.254133724068707e-9,1.2012625110345936e-8,2.192990688131775e-8,4.914704206321688e-8,9.736986805415553e-8,1.722760532715308e-7,2.832017129482494e-7,3.8768994715159313e-7,2.3800738405164765e-6
3.815141161844576e-9,1.329376348899535e-8,2.614265271840043e-8,4.914704206321688e-8,1.1619656566916392e-7,2.427895000216518e-7,4.4887976349044565e-7,7.640413876737357e-7,1.066540980030577e-6,7.4181908437078065e-6
7.064387672722732e-9,2.5220433415541658e-8,5.051164634169355e-8,9.736986805415553e-8,2.427895000216518e-7,5.407212596446065e-7,1.0603595879121906e-6,1.8941926670490398e-6,2.716934339431961e-6,2.2313337921793725e-5
1.1885254483219482e-8,4.3174620421437364e-8,8.764952639723038e-8,1.722760532715308e-7,4.4887976349044565e-7,1.0603595879121906e-6,2.2108961461065047e-6,4.16583117502188e-6,6.158867868698388e-6,6.0351274008926767e-5
1.8804113392286118e-8,6.919768424649598e-8,1.4193076366378914e-7,2.832017129482494e-7,7.640413876737357e-7,1.8941926670490398e-6,4.16583117502188e-6,8.244077558292922e-6,1.2540694584289079e-5,0.00014468248613099395
